flow_duration,packet_count,byte_count,protocol,src_port,dst_port,conn_rate,label,label_encoded,dataset_source
-0.4077853049499972,-0.5161219185170245,-0.3543803692286895,-0.4413246768066931,-1.5247363684910693,-0.42771975306807225,-0.5856320374967207,Normal,5,CICIoT2023
-0.512283112887226,-0.40696480496161697,-0.37522315781684024,-0.4413246768066931,0.8190335870246273,-0.4518620377423248,-0.30875693188654707,Brute Force,1,CICIoT2023
-0.5654515978038794,2.5370188397342255,-0.33950637148338497,-1.369062067613279,1.7067412076591275,-0.42771975306807225,0.37155277102262946,DoS,3,CICIoT2023
-0.5633859471581589,1.9965282065699501,3.0140568954945954,-1.369062067613279,0.31040027977728984,-0.42771975306807225,0.519816444848156,DDoS,2,CICIoT2023
0.014789344257284613,-0.5096050759167017,-0.3788060550808173,1.5996975829677962,-1.2764534769675078,-0.42771975306807225,-0.586168615515943,Normal,5,CICIoT2023
-0.48517064795862264,-0.5332286303428719,-0.37271715534271127,1.5996975829677962,0.9442277317060012,-0.27918332363156895,-0.5827027994895816,Normal,5,CICIoT2023
-0.4955261886530283,-0.5430038942433562,-0.3622711548165298,1.5996975829677962,1.120105478028276,-0.4514528464766595,-0.5831393119838958,Normal,5,CICIoT2023
-0.5631836294796223,-0.5405600782682352,-0.38049355567321436,-1.369062067613279,-1.6377602866386098,-0.4604550543212961,-0.5188331253347339,Spoofing,8,CICIoT2023
-0.5603118681114768,3.378506140500912,-0.0362622892842755,1.5996975829677962,0.18982774010876402,-0.42771975306807225,2.6450693846785214,DDoS,2,CICIoT2023
-0.5691570393260375,2.420530278253455,0.6440736157121278,1.5996975829677962,0.16425485903767123,-0.42771975306807225,2.8376488593630613,DoS,3,CICIoT2023
-0.508130806727818,-0.5409673809307554,-0.3698221846939893,1.5996975829677962,-1.0399813538101137,-0.42771975306807225,-0.5805558206366749,Normal,5,CICIoT2023
-0.4485110482793514,-0.23304656806550117,-0.3636436540058394,-0.4413246768066931,1.61389829806769,-0.4514528464766595,-0.35203422333627366,Brute Force,1,CICIoT2023
-0.5250467135773932,-0.5442258022309168,-0.3789793095393906,-1.369062067613279,-1.6377602866386098,-0.4604550543212961,-0.45599863431175786,Spoofing,8,CICIoT2023
-0.5417349737005935,-0.5299702090427105,-0.37939705492339587,-0.4413246768066931,1.6873818177719748,-0.42771975306807225,-0.5867363204455792,Normal,5,CICIoT2023
-0.279897029287836,-0.531192117030271,-0.3785015151210417,-0.4413246768066931,0.5521102219492452,-0.42771975306807225,-0.5835736226467307,Normal,5,CICIoT2023
-0.3649213713957628,-0.5315994196927912,-0.3700857516962333,-0.4413246768066931,-0.18775738944092524,-0.42771975306807225,-0.5840408490984311,Normal,5,CICIoT2023
-0.41740377214911284,-0.5438184995683966,-0.37766552096745504,-0.4413246768066931,1.5509931187261465,-0.4514528464766595,-0.5852332108211806,Normal,5,CICIoT2023
-0.5676344302269167,2.550052524934871,4.808875190072287,1.5996975829677962,1.5444715205413497,-0.42771975306807225,2.0472009717570656,DDoS,2,CICIoT2023
-0.5699213337358588,2.61603555626314,-0.26933087285713153,-0.4413246768066931,0.7465770906565311,-0.42771975306807225,2.0261907370735366,DDoS,2,CICIoT2023
-0.45428056507908565,-0.5161219185170245,-0.3763836067657931,1.5996975829677962,1.0314733641152114,-0.42771975306807225,-0.5807386284425672,Normal,5,CICIoT2023
-0.5629198213855214,0.8691144367140989,-0.0692766458343599,-0.4413246768066931,1.504468961596809,-0.42771975306807225,2.8260380914086296,DDoS,2,CICIoT2023
-0.33986657874251475,-0.5267117877425491,-0.37689008417727465,-0.4413246768066931,-1.1469971854409517,-0.27918332363156895,-0.5872246076117553,Normal,5,CICIoT2023
-0.46217487818055847,-0.5116415892293026,-0.32228397090060673,-0.4413246768066931,0.8220119546995738,-0.27918332363156895,-0.5843272680531696,Normal,5,CICIoT2023
0.10735006940464396,-0.5132707998793833,-0.37017576739696634,-0.4413246768066931,-0.27099763083900036,-0.4514528464766595,-0.5845474965468861,Normal,5,CICIoT2023
-0.5749885503715382,0.11845562968941196,1.5214674264563441,-0.4413246768066931,0.8015741903094233,-0.42771975306807225,2.220748325470375,DDoS,2,CICIoT2023
-0.5602688384402451,0.5449015173480377,0.1661924037402832,-1.369062067613279,0.32565157631968855,-0.42771975306807225,3.0907112012924047,DoS,3,CICIoT2023
-0.5587388135089094,-0.510419681241742,-0.35262300970260796,1.5996975829677962,-0.6222396118154555,-0.42771975306807225,-0.5832501010329446,Normal,5,CICIoT2023
-0.5750674876139695,2.528465483821302,-0.2577731066307004,-1.369062067613279,-1.3338127302936336,-0.42771975306807225,0.7095498201675661,DDoS,2,CICIoT2023
-0.5596238751333751,0.995378262095354,-0.288483127121326,-0.4413246768066931,-1.2882642453336752,-0.42771975306807225,1.0904425358148675,DDoS,2,CICIoT2023
-0.4683419608629644,-0.5100123785792219,-0.37652929282348585,-0.4413246768066931,1.7247141160424255,-0.42771975306807225,-0.586058704892227,Normal,5,CICIoT2023
-0.5686626035324677,2.9459507129044837,2.752810463329147,1.5996975829677962,0.3237515831477399,-0.42771975306807225,0.8053383111138579,DDoS,2,CICIoT2023
-0.23579858578975793,-0.5385235649556342,-0.3282937628173637,-0.4413246768066931,-0.3106920827826845,-0.27918332363156895,-0.5848177187193128,Normal,5,CICIoT2023
-0.4556956365385467,-0.5291556037176701,-0.3626185935771968,-0.4413246768066931,-0.9986950156953375,-0.27918332363156895,-0.5798294079901127,Normal,5,CICIoT2023
-0.460483917369076,-0.18091182726291846,-0.37618763066055383,-0.4413246768066931,0.49254286845031414,-0.4514528464766595,-0.3424380082571418,Brute Force,1,CICIoT2023
-0.5601158129714198,-0.1764314979751965,-0.3554883013446056,-0.4413246768066931,-1.2065645389398827,-0.4510436552109942,-0.19313488618497482,Brute Force,1,CICIoT2023
-0.5187758231908328,-0.5454477102184773,-0.3702131495763084,-1.369062067613279,-1.6377602866386098,-0.4604550543212961,-0.48646260223718923,Spoofing,8,CICIoT2023
-0.36537485499625966,-0.5226387611173473,-0.361884579732632,1.5996975829677962,-1.0132273959024043,-0.4514528464766595,-0.5855185811470498,Normal,5,CICIoT2023
-0.5294670254584122,-0.5413746835932755,-0.3740712788844311,1.5996975829677962,-0.7163149494103189,-0.4514528464766595,-0.5750487298508997,Normal,5,CICIoT2023
-0.5654491690548817,3.1060206592749133,-0.21764196995667548,-0.4413246768066931,-1.1366756009122578,-0.42771975306807225,1.7741110147682526,DoS,3,CICIoT2023
-0.5677667025520379,2.283269280984155,1.719878179054921,-0.4413246768066931,-0.9520168050655716,-0.42771975306807225,2.0932475117120424,DDoS,2,CICIoT2023
-0.34027696609396485,-0.5108269839042622,-0.3758382109076277,-0.4413246768066931,0.61845592946702,-0.27918332363156895,-0.586533750716535,Normal,5,CICIoT2023
-0.5668168807504546,0.1416718814530621,-0.29466784044709676,-1.369062067613279,-0.2997542842522774,-0.42771975306807225,1.5608639888919913,DDoS,2,CICIoT2023
-0.5233450000900818,-0.5360797489805131,-0.3797543380836718,1.5996975829677962,-0.14010350664178045,-0.4514528464766595,-0.5866920952971005,Normal,5,CICIoT2023
-0.4750282317749919,-0.2782571636052409,-0.36585078645749647,-0.4413246768066931,0.1816115534192563,-0.4514528464766595,-0.3845795609680884,Brute Force,1,CICIoT2023
-0.5101206422704633,-0.5067539572790604,-0.37050139258748543,1.5996975829677962,0.3294515626635859,-0.4514528464766595,-0.5825932996785514,Normal,5,CICIoT2023
-0.5603395396992782,3.0665123010104565,0.2919598103351545,-0.4413246768066931,-0.8242551020437265,-0.42771975306807225,1.384825590253831,DoS,3,CICIoT2023
-0.4496470646841663,-0.5389308676181545,-0.3790427278299605,-0.4413246768066931,-1.0286840971120406,-0.42771975306807225,-0.5873846389358721,Normal,5,CICIoT2023
